Origin,Terminal Destination,Occurrences,,
BOG,NCL,1,,
BOG,MCT,1,,
BOG,SDF,1,,
BOG,AJU,1,,
BOG,NAT,1,,
BOG,BOM,1,,
BOG,SAV,1,,
BOG,YXE,1,,
BOG,MLU,1,,
BOG,STN,1,,
BOG,CHS,1,,
BOG,PNA,1,,
BOG,IGU,1,,
BOG,CEN,1,,
BOG,LIN,1,,
BOG,HAN,1,,
BOG,RTM,1,,
BOG,CWB,1,,
BOG,PBI,1,,
BOG,TAM,1,,
BOG,HOU,1,,
BOG,LRV,1,,
BOG,YEG,1,,
BOG,HUU,1,,
BOG,FPO,1,,
