Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,AJU,Santa Maria,Aracaju,SE,Brazil,23,111011
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LIM,Jorge Chavez Intl,Lima,,Peru,43,105150
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CGR,Campo Grande International,Campo Grande,MS,Brazil,24,104665
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MVD,Carrasco,Montevideo,,Uruguay,41,100307
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MEX,Benito Juarez Intl,Mexico City,,Mexico,65,85277
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,ASU,Silvio Pettirossi Intl,Asuncion,,Paraguay,39,83665
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,NVT,Victor Konder Intl,Navegantes,SC,Brazil,17,81776
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JPA,Castro Pinto International,Joao Pessoa,PB,Brazil,28,81237
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,SLZ,Cunha Machado Intl,Sao Luiz,MA,Brazil,34,72617
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,BPS,Porto Seguro,Porto Seguro,BA,Brazil,27,72400
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LIS,Lisboa,Lisbon,,Portugal,37,70994
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,DOH,Hamad International Airport,Doha,,Qatar,5,66045
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MCO,Orlando Intl,Orlando,FL,United States,22,63736
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,DXB,Dubai International,Dubai,,United Arab Emirates,3,61725
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MXP,Malpensa,Milan-Malpensa,,Italy,30,61663
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,IST,Ataturk,Istanbul,,Turkey,7,61455
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LAX,Los Angeles Intl,Los Angeles,CA,United States,6,58972
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MGF,Silvio Name Jr.,Maringa,PR,Brazil,11,52518
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JNB,O.R. Tambo International Airport,Johannesburg,,South Africa,70,49537
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LDB,Jose Richa,Londrina,PR,Brazil,16,45033
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,THE,Petronio Portella,Teresina,PI,Brazil,13,43077
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,YYZ,Lester B. Pearson Intl,Toronto,ON,Canada,8,43031
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,ATL,Hartsfield-Jackson ATL,Atlanta,GA,United States,35,41755
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,UDI,Cesar Bombonato,Uberlandia,MG,Brazil,7,40758
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JOI,Lauro Carneiro Loyola,Joinville,SC,Brazil,16,40546
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,IAH,George Bush Intercontinental,Houston-Intercontinental,TX,United States,7,38982
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,PPB,Presidente Prudente,Presidente Prudente,SP,Brazil,4,38226
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,VVI,Viru Viru Intl,Santa Cruz-Viru Viru,,Bolivia,3,37614
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,RAO,Leite Lopes,Ribeirao Preto,SP,Brazil,10,37550
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JTC,Moussa Nakhl Tobias,Bauru,SP,Brazil,5,35448
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MUC,Franz Josef Strauss International,Munich,,Germany,12,33245
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,AMS,Schiphol,Amsterdam,,Netherlands,3,32760
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,COR,Pajas Blancas,Cordoba,CD,Argentina,7,30726
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,DFW,Dallas/Ft Worth Intl,Dallas/Fort Worth,TX,United States,7,30393
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CAC,A.Mendes da Silva,Cascavel,PR,Brazil,6,29343
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,ZRH,Zurich,Zurich,,Switzerland,7,28032
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,BCN,Barcelona,Barcelona,,Spain,6,27646
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,EWR,Newark Intl,Newark,NJ,United States,5,27346
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,AUH,Abu Dhabi Intl,Abu Dhabi,,United Arab Emirates,3,27320
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,ROS,Islas Malvinas,Rosario,SF,Argentina,8,26814
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,FCO,Fiumicino,Rome-Da Vinci,,Italy,4,26663
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JDO,O. Bezerra de Menezes,Juazeiro Do Norte,CE,Brazil,2,23046
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,DTW,Metropolitan Wayne County,Detroit,MI,United States,12,21828
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,IAD,Dulles International,Washington-Dulles,VA,United States,5,21435
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,ORD,O'Hare International,Chicago-O'Hare,IL,United States,4,21149
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,PUJ,Punta Cana International,Punta Cana,,Dominican Republic,9,20355
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CMN,Mohammed V,Casablanca,,Morocco,8,19680
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CCS,Simon Bolivar International,Caracas,,Venezuela,6,17115
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,IOS,Jorge Amado,Ilheus,BA,Brazil,2,17110
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,PLU,Pampulha,Belo Horizonte,MG,Brazil,3,14770
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LAD,4 De Fevereiro,Luanda,,Angola,1,14045
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,AGT,Guarani International Airport,Ciudad Del Este,,Paraguay,7,12252
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,SJP,Eribelto Manoel Reino,Sao Jose do Rio Preto,SP,Brazil,2,12194
