Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NAT,"Natal International",Natal,RN,Brazil,66,152120
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAO,"Eduardo Gomes Intl",Manaus,AM,Brazil,48,149550
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MVD,Carrasco,Montevideo,,Uruguay,69,147592
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FRA,"Frankfurt International Airport",Frankfurt,,Germany,10,145620
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AJU,"Santa Maria",Aracaju,SE,Brazil,54,142774
BOG,"El Dorado Intl",Bogota,,Colombia,UIO,"Mariscal Sucre Intl",Quito,,Ecuador,112,141021
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGR,"Campo Grande International","Campo Grande",MS,Brazil,87,134222
SAL,"El Salvador Intl","San Salvador",,"El Salvador",PTY,"Tocumen Intl, Panama R","Panama City",,Panama,71,131356
BOG,"El Dorado Intl",Bogota,,Colombia,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",19,131233
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LAX,"Los Angeles Intl","Los Angeles",CA,"United States",32,129150
BOG,"El Dorado Intl",Bogota,,Colombia,GYE,"Jose Joaquin de Olmedo",Guayaquil,,Ecuador,67,123510
CCS,"Simon Bolivar International",Caracas,,Venezuela,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,38,122269
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",54,120651
BOG,"El Dorado Intl",Bogota,,Colombia,LET,"Alfredo V. Cobb Intl",Leticia,,Colombia,45,117531
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JPA,"Castro Pinto International","Joao Pessoa",PB,Brazil,46,116712
BOG,"El Dorado Intl",Bogota,,Colombia,EOH,"Enrique Olaya Herrera",Medellin,,Colombia,76,114029
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MEX,"Benito Juarez Intl","Mexico City",,Mexico,86,112288
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BPS,"Porto Seguro","Porto Seguro",BA,Brazil,76,110652
SAL,"El Salvador Intl","San Salvador",,"El Salvador",TGU,"Toncontin Intl",Tegucigalpa,,Honduras,44,108680
BOG,"El Dorado Intl",Bogota,,Colombia,IBE,Perales,Ibague,,Colombia,51,104022
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MEX,"Benito Juarez Intl","Mexico City",,Mexico,30,102558
